epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,8678.86,0.29615,0.20217,0.82375,0.99982,1,0.995,0.9905,0.19393,0.15331,0.77099,0.0004754,0.0004754,0.0004754
79,8828.5,0.28219,0.19892,0.81806,0.99983,1,0.995,0.99084,0.19086,0.15467,0.77022,0.0004556,0.0004556,0.0004556
80,8933.64,0.291,0.19946,0.81538,0.99982,1,0.995,0.99151,0.18537,0.1499,0.77071,0.0004358,0.0004358,0.0004358
81,9045.47,0.2801,0.1951,0.82331,0.99983,1,0.995,0.99067,0.18973,0.15274,0.77066,0.000416,0.000416,0.000416
82,9195.24,0.29313,0.20102,0.82421,0.99982,1,0.995,0.99091,0.19435,0.15568,0.77073,0.0003962,0.0003962,0.0003962
83,9298.41,0.27949,0.19267,0.82214,0.9998,1,0.995,0.9921,0.19511,0.15273,0.77026,0.0003764,0.0003764,0.0003764
84,9426.94,0.28175,0.19717,0.82656,0.99973,1,0.995,0.99126,0.18395,0.14949,0.77021,0.0003566,0.0003566,0.0003566
85,9533.12,0.27496,0.19193,0.81697,0.99923,1,0.995,0.9906,0.17976,0.14498,0.76994,0.0003368,0.0003368,0.0003368
86,9641.8,0.27418,0.19002,0.813,0.99979,1,0.995,0.99098,0.18828,0.1465,0.76979,0.000317,0.000317,0.000317
87,9727.89,0.27238,0.18625,0.8162,0.99979,1,0.995,0.99104,0.18928,0.14234,0.77105,0.0002972,0.0002972,0.0002972
88,9833.77,0.27881,0.188,0.82045,0.9998,1,0.995,0.9908,0.18359,0.14363,0.77021,0.0002774,0.0002774,0.0002774
89,9955.81,0.27663,0.18833,0.81791,0.99969,1,0.995,0.99168,0.18141,0.14296,0.76925,0.0002576,0.0002576,0.0002576
90,10085.1,0.26498,0.18166,0.8153,0.9998,1,0.995,0.99163,0.18675,0.14565,0.76939,0.0002378,0.0002378,0.0002378
91,10211.1,0.20858,0.15408,0.7767,0.9998,1,0.995,0.99206,0.18692,0.14432,0.76936,0.000218,0.000218,0.000218
92,10311.2,0.20044,0.14871,0.77973,0.99983,1,0.995,0.99213,0.18239,0.13932,0.7695,0.0001982,0.0001982,0.0001982
93,10395.5,0.20029,0.15092,0.78327,0.99983,1,0.995,0.99011,0.19078,0.14513,0.7689,0.0001784,0.0001784,0.0001784
94,10529.6,0.20129,0.14978,0.77736,0.99983,1,0.995,0.99148,0.18266,0.13983,0.76878,0.0001586,0.0001586,0.0001586
95,10649.5,0.19665,0.14771,0.77767,0.99983,1,0.995,0.9918,0.18176,0.13922,0.76861,0.0001388,0.0001388,0.0001388
96,10736,0.19363,0.14215,0.77712,0.99984,1,0.995,0.99226,0.17554,0.13497,0.76858,0.000119,0.000119,0.000119
97,10820.9,0.18934,0.14059,0.77686,0.99984,1,0.995,0.99193,0.18172,0.13738,0.76773,9.92e-05,9.92e-05,9.92e-05
98,10906.4,0.18884,0.13876,0.77621,0.99984,1,0.995,0.99212,0.18207,0.13465,0.76812,7.94e-05,7.94e-05,7.94e-05
99,10984.9,0.19016,0.13903,0.77379,0.99984,1,0.995,0.99166,0.18014,0.13163,0.76815,5.96e-05,5.96e-05,5.96e-05
100,11057.8,0.18542,0.13457,0.7779,0.99984,1,0.995,0.99151,0.18454,0.13251,0.7682,3.98e-05,3.98e-05,3.98e-05
